date,temperature,humidity,luminosity
2019-11-27 14:58:02.806,23.3,30.8,243
2019-11-27 14:58:05.080,23.4,30.4,240
2019-11-27 14:58:07.357,23.4,30.1,243
2019-11-27 14:58:09.634,23.4,29.8,243
2019-11-27 14:58:11.908,23.4,29.5,243
2019-11-27 14:58:14.184,23.3,29.3,243
2019-11-27 14:58:16.462,23.4,29.2,242
2019-11-27 14:58:18.736,23.4,29.1,242
2019-11-27 14:58:21.012,23.4,29.0,242
2019-11-27 14:58:23.290,23.4,28.9,243
2019-11-27 14:58:25.563,23.4,28.8,245
2019-11-27 14:58:27.840,23.4,28.7,242
2019-11-27 14:58:30.117,23.4,28.6,242
2019-11-27 14:58:32.395,23.4,28.6,242
2019-11-27 14:58:34.668,23.4,28.6,242
2019-11-27 14:58:36.945,23.4,28.5,242
2019-11-27 14:58:39.224,23.4,28.5,242
2019-11-27 14:58:41.495,23.4,28.5,243
2019-11-27 14:58:43.773,23.4,28.5,242
2019-11-27 14:58:46.051,23.3,28.5,242
2019-11-27 14:58:48.323,23.3,28.5,243
2019-11-27 14:58:50.601,23.4,28.5,242
2019-11-27 14:58:52.878,23.4,28.5,240
2019-11-27 14:58:55.151,23.4,28.5,242
2019-11-27 14:58:57.429,23.4,28.5,245
2019-11-27 14:58:59.705,23.4,28.5,243
2019-11-27 14:59:01.980,23.4,28.5,242
2019-11-27 14:59:04.257,23.3,28.5,243
2019-11-27 14:59:06.534,23.4,28.5,243
2019-11-27 14:59:08.811,23.3,28.5,243
2019-11-27 14:59:11.085,23.4,28.5,240
2019-11-27 14:59:13.363,23.4,28.5,183
2019-11-27 14:59:15.639,23.4,28.5,199
2019-11-27 14:59:17.913,23.4,28.6,219
2019-11-27 14:59:20.189,23.4,28.6,222
2019-11-27 14:59:22.468,23.4,28.7,240
2019-11-27 14:59:24.741,23.4,28.7,240
2019-11-27 14:59:27.017,23.4,28.7,205
2019-11-27 14:59:29.295,23.4,28.7,194
2019-11-27 14:59:31.568,23.4,28.9,212
2019-11-27 14:59:33.845,23.4,29.0,220
2019-11-27 14:59:36.123,23.4,29.2,215
2019-11-27 14:59:38.396,23.4,29.1,199
2019-11-27 14:59:40.674,23.4,29.1,207
2019-11-27 14:59:42.950,23.4,29.0,217
2019-11-27 14:59:45.224,23.4,29.0,208
2019-11-27 14:59:47.501,23.4,29.0,207
2019-11-27 14:59:49.778,23.4,29.0,201
2019-11-27 14:59:52.052,23.4,28.9,200
2019-11-27 14:59:54.328,23.4,29.0,198
2019-11-27 14:59:56.606,23.4,29.1,190
2019-11-27 14:59:58.884,23.4,29.2,234
2019-11-27 15:00:01.157,23.4,29.3,222
2019-11-27 15:00:03.433,23.4,29.3,242
2019-11-27 15:00:05.710,23.4,29.2,240
2019-11-27 15:00:07.984,23.4,29.1,240
2019-11-27 15:00:10.260,23.4,29.0,240
2019-11-27 15:00:12.538,23.4,28.9,240
2019-11-27 15:00:14.811,23.4,30.2,238
2019-11-27 15:00:17.089,23.4,30.6,237
2019-11-27 15:00:19.365,23.4,31.1,240
2019-11-27 15:00:21.639,23.4,31.0,231
2019-11-27 15:00:23.916,23.4,30.6,234
2019-11-27 15:00:26.193,23.4,30.2,227
2019-11-27 15:00:28.467,23.4,30.0,227
2019-11-27 15:00:30.744,23.4,29.8,200
2019-11-27 15:00:33.021,23.4,29.6,193
2019-11-27 15:00:35.297,23.4,29.3,189
2019-11-27 15:00:37.572,23.4,29.2,209
2019-11-27 15:00:39.849,23.4,29.1,226
2019-11-27 15:00:42.126,23.4,29.0,200
2019-11-27 15:00:44.399,23.4,28.9,242
2019-11-27 15:00:46.677,23.4,28.8,243
2019-11-27 15:00:48.953,23.4,28.7,243
2019-11-27 15:00:51.227,23.4,28.7,229
2019-11-27 15:00:53.504,23.4,28.6,235
2019-11-27 15:00:55.781,23.4,28.5,220
2019-11-27 15:00:58.055,23.4,28.5,207
2019-11-27 15:01:00.331,23.4,28.5,199
2019-11-27 15:01:02.610,23.4,28.5,200
2019-11-27 15:01:04.883,23.4,28.5,205
2019-11-27 15:01:07.160,23.4,28.6,215
2019-11-27 15:01:09.438,23.4,28.6,220
2019-11-27 15:01:11.712,23.4,28.6,181
2019-11-27 15:01:13.988,23.4,28.7,223
2019-11-27 15:01:16.267,23.4,28.7,234
2019-11-27 15:01:18.542,23.4,28.8,222
2019-11-27 15:01:20.816,23.4,28.8,219
2019-11-27 15:01:23.093,23.4,28.9,199
2019-11-27 15:01:25.370,23.4,28.9,234
2019-11-27 15:01:27.644,23.4,28.9,226
2019-11-27 15:01:29.921,23.4,28.9,231
2019-11-27 15:01:32.195,23.4,28.9,229
2019-11-27 15:01:34.471,23.4,28.9,243
2019-11-27 15:01:36.749,23.4,28.9,243
2019-11-27 15:01:39.021,23.4,28.9,243
2019-11-27 15:01:41.299,23.4,29.0,243
2019-11-27 15:01:43.576,23.4,29.0,245
2019-11-27 15:01:45.853,23.4,29.0,243
2019-11-27 15:01:48.127,23.4,29.1,243
