date,temperature,humidity,luminosity
49:04.1,23.3,31.9,164
49:06.4,23.3,32.4,153
49:08.7,23.3,31.6,250
49:11.0,23.3,30.5,208
49:13.2,23.3,29.9,207
49:15.5,23.3,29.2,175
49:17.8,23.3,28.7,265
49:20.1,23.3,28.4,250
49:22.3,23.3,28.1,254
49:24.6,23.3,27.7,252
49:26.9,23.3,27.5,265
49:29.2,23.3,27.2,263
49:31.4,23.3,27,267
49:33.7,23.3,26.9,267
49:36.0,23.3,26.7,267
49:38.3,23.2,26.6,267
49:40.5,23.3,26.6,269
49:42.8,23.3,26.6,267
49:45.1,23.3,26.4,267
49:47.4,23.3,26.4,269
49:49.6,23.2,26.2,265
49:51.9,23.3,26.3,265
49:54.2,23.3,26.4,265
49:56.5,23.3,26.4,269
49:58.8,23.2,26.3,265
50:01.0,23.2,26.4,267
50:03.3,23.2,26.4,265
50:05.6,23.2,26.3,265
50:07.9,23.2,26.2,265
50:10.1,23.2,26.2,269
50:12.4,23.2,26.2,269
50:14.7,23.2,26.3,267
50:17.0,23.2,26.3,265
50:19.2,23.2,26.3,267
50:21.5,23.2,26.3,267
50:23.8,23.2,26.4,269
50:26.1,23.2,26.4,267
50:28.3,23.2,26.5,269
50:30.6,23.2,26.5,269
50:32.9,23.1,26.5,269
50:35.2,23.1,26.5,269
50:37.4,23.1,26.5,269
50:39.7,23.1,26.5,269
50:42.0,23.1,26.6,271
50:44.3,23.1,26.6,269
50:46.6,23.1,26.6,269
50:48.8,23.1,26.6,243
50:51.1,23.1,26.6,263
50:53.4,23.1,26.6,267
50:55.7,23.1,26.6,256
50:57.9,23,27.1,254
51:00.2,23.1,27.4,254
51:02.5,23,27.2,263
51:04.8,23,27.1,263
51:07.0,23,27,261
51:09.3,23,26.9,265
51:11.6,23,26.8,263
51:13.9,23,26.8,263
51:16.1,23,26.7,263
51:18.4,23,26.6,263
51:20.7,23,26.6,265
51:23.0,23,26.6,263
51:25.3,23,26.6,265
51:27.5,23,26.5,265
51:29.8,23,26.5,265
51:32.1,23,26.5,261
51:34.4,23,26.8,263
51:36.6,23,27,260
51:38.9,23,27.1,263
51:41.2,23,27.1,263
51:43.5,23,27,265
51:45.7,23,27,267
52:59.7,22.9,26.7,243
53:02.0,23,26.7,261
53:04.3,22.9,26.7,260
53:06.6,22.9,26.7,261
53:08.8,22.9,26.7,263
53:11.1,22.9,26.7,256
53:13.4,22.9,26.7,263
53:15.7,22.9,26.7,265
53:18.0,22.9,26.8,263
53:20.2,22.9,26.8,265
53:22.5,22.9,26.8,254
53:24.8,22.9,26.8,263
53:27.1,22.9,26.8,265
53:29.3,22.9,26.8,267
53:31.6,22.9,26.8,267
53:33.9,22.9,26.8,269
53:36.2,22.9,27,267
53:38.4,22.9,27.3,267
53:40.7,22.9,27.2,267
53:43.0,22.9,27.2,261
53:45.3,22.9,27.1,240
53:47.5,22.8,27,265
53:49.8,22.9,27.1,265
53:52.1,22.8,27,263
53:54.4,22.8,27,263
53:56.7,22.8,27,263
53:58.9,22.8,27,263
54:01.2,22.8,27,261
54:03.5,22.8,27,261
54:05.8,22.8,27,261
54:08.0,22.8,27,263
54:10.3,22.8,27,260
54:12.6,22.8,27,260
54:14.9,22.8,27,260
54:17.1,22.8,27,260
54:19.4,22.8,27,261
54:21.7,22.8,27,261
54:24.0,22.8,27,260
54:26.2,22.8,27.2,260
54:28.5,22.8,27.5,261
54:30.8,22.8,27.7,261
54:33.1,22.8,27.8,260
54:35.3,22.8,27.8,261
54:37.6,22.8,27.8,261
54:39.9,22.8,28.1,261
54:42.2,22.8,28.1,261
54:44.5,22.8,28,261
54:46.7,22.8,28,265
54:49.0,22.8,27.9,261
54:51.3,22.8,27.8,263
54:53.6,22.8,27.7,263
54:55.8,22.8,27.6,263
54:58.1,22.7,27.5,263
55:00.4,22.8,27.4,261
55:02.7,22.8,27.4,261
55:04.9,22.8,27.3,234
55:07.2,22.8,27.3,263
55:09.5,22.8,27.3,261
55:11.8,22.8,27.3,258
55:14.0,22.8,27.3,263
55:16.3,22.8,27.3,263
55:18.6,22.8,27.3,265
55:20.9,22.8,27.3,265
55:23.1,22.8,27.2,265
55:25.4,22.8,27.2,263
55:27.7,22.8,27.2,265
55:30.0,22.8,27.2,263
55:32.3,22.8,27.2,263
55:34.5,22.8,27.1,263
55:36.8,22.8,27.1,263
55:39.1,22.8,27,263
55:41.4,22.8,27,265
55:43.6,22.8,27,265
55:45.9,22.8,27,263
55:48.2,22.8,27,265
55:50.5,22.8,27,265
55:52.7,22.8,27.1,263
55:55.0,22.8,27.1,267
55:57.3,22.8,27.1,265
55:59.6,22.8,27.1,261
56:01.8,22.8,27.1,260
56:04.1,22.8,27.1,261
56:06.4,22.8,27,261
56:08.7,22.8,27.1,261
56:10.9,22.8,27.1,263
56:13.2,22.8,27.2,263
56:15.5,22.8,27.2,260
56:17.8,22.8,27.2,265
56:20.1,22.8,27.1,261
56:22.3,22.8,27,260
56:24.6,22.8,27.3,261
56:26.9,22.8,27.6,256
56:29.2,22.8,27.7,263
56:31.4,22.9,27.7,267
56:33.7,22.9,27.5,265
56:36.0,22.9,27.3,258
56:38.3,22.8,27.2,267
56:40.5,22.8,27.1,261
56:42.8,22.8,27.1,229
56:45.1,22.8,27.1,250
56:47.4,22.8,27,261
56:49.6,22.9,27.1,265
56:51.9,22.8,27,267
56:54.2,22.8,27,267
56:56.5,22.8,26.9,263
56:58.8,22.8,26.9,267
57:01.0,22.8,26.9,265
57:03.3,22.8,26.9,267
57:05.6,22.8,26.9,265
57:07.9,22.8,26.8,265
57:10.1,22.8,26.7,265
57:12.4,22.8,26.6,267
57:14.7,22.8,26.6,265
57:17.0,22.8,26.5,265
57:19.2,22.8,26.4,265
57:21.5,22.8,26.4,263
57:23.8,22.8,26.4,265
57:26.1,22.8,26.4,267
57:28.3,22.8,26.4,269
57:30.6,22.8,26.5,267
57:32.9,22.8,26.5,267
57:35.2,22.8,26.5,267
57:37.5,22.8,26.4,265
57:39.7,22.8,26.4,263
57:42.0,22.8,26.4,258
57:44.3,22.8,26.3,256
57:46.6,22.8,26.4,256
57:48.8,22.8,26.8,249
57:51.1,22.8,26.8,252
57:53.4,22.8,26.8,256
57:55.7,22.8,26.8,256
57:57.9,22.8,26.8,254
58:00.2,22.8,26.8,252
58:02.5,22.8,26.7,237
58:04.8,22.8,26.5,234
58:07.0,22.8,26.5,235
58:09.3,22.8,26.4,235
58:11.6,22.8,26.4,237
58:13.9,22.8,26.4,237
58:16.1,22.8,26.4,258
58:18.4,22.8,26.5,258
